Year,Sector,YearlyAverageVolume
2010,Interest Rate,7639004.385964912
2011,Interest Rate,10677189.682539683
2012,Interest Rate,7231080.8
2013,Interest Rate,8155525.793650794
2014,Interest Rate,7693148.412698412
2015,Interest Rate,8995251.984126983
2016,Interest Rate,8987976.587301588
2017,Interest Rate,8287439.442231076
2018,Interest Rate,8753734.262948208
2019,Interest Rate,9539300.793650793
2020,Interest Rate,11521949.407114625
2021,Interest Rate,15512410.714285715
2022,Interest Rate,20840889.641434263
2023,Interest Rate,30766592.4
2024,Interest Rate,39902192.46031746
2025,Interest Rate,35136403.25
2010,Agriculture,1541812.2807017544
2011,Agriculture,2228686.507936508
2012,Agriculture,967322.4
2013,Agriculture,681530.1587301587
2014,Agriculture,670370.2380952381
2015,Agriculture,405073.8095238095
2016,Agriculture,522426.98412698414
2017,Agriculture,668079.282868526
2018,Agriculture,641776.0956175299
2019,Agriculture,312082.9365079365
2020,Agriculture,624578.6561264822
2021,Agriculture,1121385.3174603174
2022,Agriculture,2156877.689243028
2023,Agriculture,644009.2
2024,Agriculture,458125.3968253968
2025,Agriculture,389955.2916666667
2010,Metals,15448308.333333334
2011,Metals,17133811.111111112
2012,Metals,10254422.0
2013,Metals,10799321.42857143
2014,Metals,6860613.095238095
2015,Metals,6184804.761904762
2016,Metals,10809049.603174603
2017,Metals,7404133.864541832
2018,Metals,7545830.278884462
2019,Metals,8723755.952380951
2020,Metals,12298005.138339922
2021,Metals,8240220.634920635
2022,Metals,8322585.258964144
2023,Metals,7303199.2
2024,Metals,6908988.095238095
2025,Metals,7610494.333333333
2010,Equities,209247235.0877193
2011,Equities,218219975.7936508
2012,Equities,143330936.8
2013,Equities,121538802.38095239
2014,Equities,109802982.53968254
2015,Equities,123620206.74603175
2016,Equities,104724339.28571428
2017,Equities,70457158.16733068
2018,Equities,97164470.91633466
2019,Equities,70042490.07936507
2020,Equities,100359315.41501977
2021,Equities,73795232.53968254
2022,Equities,94759609.96015936
2023,Equities,81923891.6
2024,Equities,57412932.93650793
2025,Equities,47490067.458333336
2010,Energy,17819380.701754387
2011,Energy,21287241.666666668
2012,Energy,13079910.0
2013,Energy,10447198.412698412
2014,Energy,15533056.746031746
2015,Energy,19005212.301587302
2016,Energy,18314640.873015873
2017,Energy,13712170.91633466
2018,Energy,16112165.737051792
2019,Energy,14094977.38095238
2020,Energy,30341173.517786562
2021,Energy,30647799.603174604
2022,Energy,32309984.86055777
2023,Energy,19871300.0
2024,Energy,14718619.444444444
2025,Energy,16261010.208333334
2010,FX,4287510.96491228
2011,FX,4652984.126984127
2012,FX,2359792.8
2013,FX,1123413.888888889
2014,FX,1065720.238095238
2015,FX,2274969.0476190476
2016,FX,1618466.6666666667
2017,FX,1327691.6334661355
2018,FX,1037632.2709163347
2019,FX,636329.7619047619
2020,FX,1362523.7154150198
2021,FX,960190.873015873
2022,FX,3375038.645418327
2023,FX,2179429.6
2024,FX,918753.5714285715
2025,FX,2005877.5416666667
